net,length_um
_2977_,23.14µm
_3026_,23.14µm
_0661_,23.06µm
_1835_,23.06µm
_0711_,23.02µm
_0772_,23.02µm
_3245_,23.02µm
_2012_,22.96µm
_3062_,22.96µm
_0222_,22.94µm
_0688_,22.92µm
_1393_,22.92µm
_1374_,22.915µm
_0789_,22.9µm
_0859_,22.9µm
_2302_,22.88µm
_1091_,22.84µm
_0784_,22.82µm
_1132_,22.8µm
_0728_,22.76µm
_2373_,22.76µm
_1608_,22.72µm
_2294_,22.68µm
_1347_,22.62µm
_1861_,22.6µm
_0838_,22.58µm
_1722_,22.58µm
_0856_,22.56µm
_1366_,22.56µm
_3306_,22.54µm
_1855_,22.52µm
_0738_,22.5µm
_1371_,22.5µm
_3177_,22.46µm
_2481_,22.44µm
_3155_,22.44µm
_0779_,22.38µm
_1346_,22.3µm
_2830_,22.28µm
_0902_,22.265µm
_1962_,22.24µm
_2482_,22.24µm
_1580_,22.2µm
_0431_,22.16µm
_2087_,22.14µm
_3050_,22.14µm
_0737_,22.08µm
_1551_,22.08µm
_1428_,22.06µm
_1569_,22.06µm
_2381_,22.06µm
_1567_,22.02µm
_0470_,22µm
_1308_,22µm
_2169_,22µm
_3178_,22µm
_1139_,21.98µm
_1025_,21.92µm
_0329_,21.9µm
_0516_,21.88µm
_1960_,21.82µm
_2003_,21.82µm
_2479_,21.82µm
_0593_,21.8µm
_1114_,21.8µm
_2332_,21.8µm
_2738_,21.8µm
_2382_,21.78µm
_1578_,21.76µm
_3154_,21.76µm
_1287_,21.68µm
_1182_,21.66µm
_1983_,21.66µm
_1585_,21.62µm
_0595_,21.58µm
_2305_,21.58µm
_3349_,21.54µm
_1684_,21.39µm
_2451_,21.38µm
_1313_,21.3µm
_1094_,21.28µm
_2650_,21.24µm
_0976_,21.22µm
_1034_,21.22µm
_2384_,21.22µm
_1777_,21.18µm
_3052_,21.14µm
_0015_,21.1µm
_1239_,21.1µm
_0676_,21.04µm
_0044_,21.02µm
_1914_,21µm
_0755_,20.98µm
_0339_,20.96µm
_3283_,20.94µm
_0065_,20.92µm
_2995_,20.9µm
_0813_,20.88µm
_2263_,20.86µm
_1688_,20.84µm
_0368_,20.82µm
_2060_,20.8µm
_1686_,20.78µm
_0098_,20.76µm
_1969_,20.74µm
_2108_,20.7µm
_2160_,20.7µm
_3005_,20.7µm
_1624_,20.68µm
_3378_,20.68µm
_0397_,20.66µm
_3085_,20.64µm
_1242_,20.62µm
_1432_,20.62µm
_2428_,20.6µm
_1142_,20.58µm
_1925_,20.58µm
_2137_,20.58µm
_0457_,20.52µm
_0520_,20.52µm
_3054_,20.52µm
_3253_,20.48µm
_2543_,20.46µm
_2472_,20.44µm
net30,20.4µm
_0769_,20.38µm
_2550_,20.37µm
_2005_,20.34µm
_2078_,20.3µm
_1328_,20.26µm
_3199_,20.19µm
_0087_,20.14µm
_0805_,20.14µm
_1758_,20.14µm
_1178_,20.12µm
_0450_,20.1µm
_1227_,20.08µm
_1513_,20.08µm
_3212_,20.08µm
_1059_,20.02µm
_1365_,20.02µm
_1444_,20µm
_1457_,20µm
_1036_,19.9µm
_2430_,19.885µm
_1963_,19.88µm
_2079_,19.88µm
_0050_,19.86µm
_2182_,19.86µm
_2409_,19.86µm
_1361_,19.78µm
_1511_,19.78µm
_2871_,19.78µm
_1422_,19.735µm
_2577_,19.7µm
_0997_,19.66µm
_0694_,19.6µm
_0965_,19.58µm
_2258_,19.58µm
_1376_,19.56µm
_0459_,19.54µm
_0963_,19.54µm
_3058_,19.52µm
_0173_,19.5µm
_0855_,19.5µm
_3119_,19.44µm
net111,19.44µm
_0441_,19.435µm
_0699_,19.42µm
_0453_,19.38µm
_2313_,19.36µm
_1355_,19.34µm
_1368_,19.34µm
_2774_,19.28µm
_0067_,19.26µm
_1798_,19.24µm
_1650_,19.2µm
_2756_,19.2µm
_3323_,19.16µm
_1257_,19.15µm
_1124_,19.12µm
net99,19.12µm
_1943_,19.1µm
_1245_,19.09µm
_0934_,19.06µm
_1202_,18.96µm
_1556_,18.94µm
_1090_,18.92µm
_1998_,18.92µm
_2168_,18.92µm
_0433_,18.86µm
_2223_,18.86µm
_1232_,18.82µm
_2821_,18.82µm
_1581_,18.8µm
_2418_,18.8µm
_1378_,18.78µm
_1089_,18.74µm
_0914_,18.68µm
_0121_,18.66µm
_0653_,18.66µm
_1638_,18.66µm
_2066_,18.64µm
_3315_,18.64µm
_0558_,18.6µm
_2748_,18.6µm
_1442_,18.58µm
_0880_,18.56µm
_2166_,18.555µm
_0169_,18.52µm
_1000_,18.52µm
_2797_,18.52µm
_2836_,18.52µm
_2181_,18.505µm
_2794_,18.48µm
_2851_,18.48µm
_0127_,18.475µm
_1719_,18.46µm
_1652_,18.44µm
_0882_,18.41µm
_1222_,18.405µm
_2007_,18.38µm
_2634_,18.38µm
_0398_,18.36µm
_0416_,18.36µm
_0521_,18.36µm
_2143_,18.3µm
_2368_,18.3µm
_0732_,18.28µm
_1246_,18.28µm
_2847_,18.245µm
_0643_,18.24µm
_0782_,18.24µm
_1664_,18.22µm
_0402_,18.2µm
_0109_,18.18µm
_2046_,18.18µm
_2662_,18.18µm
_0157_,18.14µm
_2443_,18.14µm
_1827_,18.12µm
_0537_,18.1µm
_0776_,18.08µm
_0868_,18.08µm
_1656_,18.055µm
_1326_,18.02µm
_1700_,18.02µm
_3210_,18.02µm
_1820_,17.98µm
_0894_,17.94µm
_1731_,17.94µm
_2551_,17.94µm
_3138_,17.94µm
_1698_,17.92µm
_0238_,17.91µm
_3087_,17.9µm
_3265_,17.9µm
net32,17.88µm
_1629_,17.86µm
_1751_,17.86µm
_0507_,17.82µm
_2001_,17.82µm
_2516_,17.82µm
_3157_,17.82µm
_0721_,17.8µm
_0214_,17.78µm
_1116_,17.78µm
_1358_,17.72µm
_3165_,17.71µm
_1249_,17.7µm
_2151_,17.7µm
_2146_,17.68µm
net88,17.68µm
_1597_,17.66µm
_1030_,17.64µm
_2483_,17.64µm
_2989_,17.64µm
_2135_,17.62µm
_2810_,17.6µm
_0391_,17.56µm
_1119_,17.54µm
_2366_,17.54µm
_1934_,17.52µm
_1171_,17.5µm
_2104_,17.48µm
_2246_,17.48µm
_2917_,17.48µm
_0990_,17.46µm
_1782_,17.46µm
_2673_,17.44µm
_0984_,17.42µm
_2895_,17.41µm
_2252_,17.38µm
_alu_i0.Datapath_i.reg_0.reg_out1\[7\],17.38µm
_2214_,17.36µm
_0054_,17.34µm
_0562_,17.32µm
_2111_,17.32µm
_0747_,17.3µm
_2376_,17.28µm
_1394_,17.26µm
_0770_,17.24µm
_0150_,17.22µm
_3122_,17.22µm
_0204_,17.2µm
_1908_,17.2µm
_2624_,17.2µm
_1617_,17.18µm
_3325_,17.14µm
_0471_,17.12µm
_1525_,17.12µm
_0027_,17.1µm
_0160_,17.1µm
_1321_,17.1µm
_0266_,17.06µm
_1261_,17.06µm
_1319_,17.06µm
_2357_,17.045µm
_0269_,17.04µm
_2749_,17.02µm
_3387_,17.02µm
_0554_,17µm
_1813_,17µm
_1930_,17µm
_0619_,16.98µm
_2192_,16.94µm
_1793_,16.91µm
_1161_,16.88µm
_0296_,16.84µm
_2832_,16.84µm
_2984_,16.8µm
_1669_,16.78µm
_1992_,16.78µm
_1194_,16.76µm
_1704_,16.76µm
_1538_,16.74µm
_2099_,16.74µm
_2772_,16.72µm
_0987_,16.7µm
_2350_,16.7µm
_3368_,16.68µm
_1354_,16.66µm
_1884_,16.6µm
net68,16.58µm
_1701_,16.54µm
_0058_,16.5µm
_0349_,16.5µm
_2894_,16.48µm
_2575_,16.44µm
_2656_,16.44µm
_2965_,16.42µm
_0749_,16.4µm
_1847_,16.38µm
_2587_,16.38µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[4\],16.345µm
_1825_,16.34µm
_2208_,16.32µm
_2742_,16.3µm
_2882_,16.3µm
_3064_,16.3µm
net65,16.3µm
_3403_,16.26µm
net113,16.26µm
_0596_,16.24µm
_1853_,16.24µm
_0028_,16.22µm
_0706_,16.22µm
_2347_,16.22µm
net43,16.22µm
_1822_,16.2µm
_2502_,16.2µm
_2600_,16.18µm
_3001_,16.18µm
_0120_,16.16µm
_0341_,16.16µm
_0448_,16.14µm
_0685_,16.14µm
_1035_,16.14µm
_2823_,16.14µm
_0893_,16.12µm
_1857_,16.12µm
_1256_,16.1µm
_2067_,16.1µm
_0146_,16.08µm
_1565_,16.06µm
_2850_,16.06µm
_2379_,16.04µm
_1286_,16.02µm
_2561_,15.98µm
_1238_,15.94µm
_2009_,15.94µm
_0887_,15.92µm
_0218_,15.9µm
_0364_,15.88µm
_0929_,15.86µm
_2827_,15.86µm
_1084_,15.84µm
_1262_,15.84µm
_3223_,15.84µm
_1298_,15.81µm
_0613_,15.8µm
_0865_,15.8µm
_2893_,15.78µm
_0159_,15.76µm
_1192_,15.76µm
_2891_,15.76µm
_0820_,15.74µm
_1141_,15.74µm
_1640_,15.74µm
_0387_,15.72µm
net69,15.72µm
_0681_,15.68µm
_1947_,15.68µm
_0664_,15.66µm
_3011_,15.66µm
_0979_,15.62µm
_3220_,15.56µm
_3227_,15.56µm
_3337_,15.56µm
_1458_,15.55µm
_3279_,15.54µm
_2180_,15.52µm
_1559_,15.5µm
_2491_,15.5µm
_3372_,15.5µm
_0920_,15.48µm
_1131_,15.46µm
_2573_,15.4µm
_0696_,15.38µm
_3255_,15.38µm
_3268_,15.38µm
_1453_,15.36µm
_1677_,15.36µm
_0220_,15.34µm
_0679_,15.34µm
_1499_,15.34µm
_0247_,15.32µm
_1350_,15.3µm
_3240_,15.28µm
_0578_,15.26µm
_2872_,15.26µm
_0326_,15.24µm
_0693_,15.22µm
_1037_,15.22µm
_2644_,15.22µm
_0110_,15.14µm
net114,15.14µm
_1593_,15.13µm
_0692_,15.12µm
_1929_,15.12µm
_3313_,15.1µm
_1208_,15.08µm
_1695_,15.06µm
_1102_,15.04µm
_0683_,15.025µm
_0337_,15.02µm
_1500_,15.02µm
_1054_,14.98µm
_1160_,14.98µm
_3164_,14.98µm
_2019_,14.96µm
_0525_,14.92µm
_0511_,14.905µm
_0942_,14.9µm
_1244_,14.88µm
_2659_,14.88µm
_2721_,14.88µm
_3142_,14.88µm
_3296_,14.88µm
_0751_,14.86µm
_1671_,14.86µm
_0445_,14.84µm
_0458_,14.84µm
_1676_,14.82µm
_0181_,14.8µm
_0361_,14.8µm
_0649_,14.8µm
_1454_,14.8µm
_0455_,14.78µm
_0539_,14.78µm
_1836_,14.78µm
_1621_,14.76µm
_1639_,14.76µm
_2306_,14.76µm
_2548_,14.76µm
_1195_,14.74µm
_0095_,14.7µm
_1568_,14.68µm
_0553_,14.66µm
_1709_,14.64µm
_1682_,14.62µm
_0610_,14.6µm
_2799_,14.6µm
_1391_,14.565µm
_1125_,14.56µm
_2655_,14.56µm
_1999_,14.54µm
_2383_,14.53µm
_0280_,14.52µm
_2089_,14.52µm
_3106_,14.52µm
_0244_,14.515µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[2\],14.505µm
_0118_,14.48µm
_0322_,14.48µm
_2806_,14.48µm
_0288_,14.46µm
_0667_,14.46µm
_2062_,14.46µm
_0532_,14.44µm
_1213_,14.44µm
_1988_,14.44µm
_1689_,14.42µm
_1968_,14.42µm
_1410_,14.415µm
_1418_,14.4µm
_2677_,14.4µm
_0031_,14.38µm
_1014_,14.38µm
_1033_,14.38µm
_1112_,14.38µm
_1446_,14.375µm
_0312_,14.36µm
_1848_,14.36µm
_2476_,14.36µm
_2331_,14.34µm
_2342_,14.34µm
_1515_,14.3µm
_1544_,14.3µm
_2091_,14.3µm
_2523_,14.3µm
_3302_,14.3µm
_3350_,14.3µm
_0786_,14.29µm
_2597_,14.28µm
_1795_,14.26µm
_2141_,14.26µm
_1766_,14.24µm
_1229_,14.22µm
_1545_,14.22µm
_0514_,14.2µm
_1994_,14.14µm
_2043_,14.12µm
_1976_,14.1µm
_2170_,14.1µm
_2564_,14.1µm
net50,14.08µm
_0384_,14.06µm
_1095_,14.055µm
_0551_,14.04µm
_1236_,14.04µm
_3080_,14.04µm
_0143_,14.02µm
_3115_,14.02µm
_3363_,14.02µm
_0032_,14µm
_0791_,14µm
_1642_,14µm
_1899_,13.98µm
_2439_,13.96µm
_0986_,13.92µm
_2405_,13.92µm
_0533_,13.9µm
_0945_,13.9µm
_1163_,13.9µm
_2629_,13.9µm
_0600_,13.88µm
_1413_,13.88µm
_1613_,13.88µm
_0295_,13.865µm
_1897_,13.86µm
_0576_,13.84µm
_0765_,13.84µm
_0982_,13.82µm
_1562_,13.82µm
_1937_,13.82µm
_1109_,13.8µm
_0587_,13.78µm
_0754_,13.78µm
_2167_,13.78µm
_2886_,13.78µm
_0155_,13.76µm
_0569_,13.76µm
_1705_,13.76µm
net110,13.76µm
_0305_,13.75µm
_2590_,13.73µm
_1711_,13.72µm
_1890_,13.72µm
_2189_,13.72µm
_1448_,13.7µm
_1050_,13.68µm
_0449_,13.64µm
_2988_,13.64µm
_3150_,13.64µm
_0884_,13.6µm
_3246_,13.6µm
_1082_,13.58µm
_0573_,13.56µm
_1622_,13.56µm
_1923_,13.56µm
_0834_,13.54µm
_3343_,13.54µm
_0258_,13.52µm
_2245_,13.52µm
_1225_,13.5µm
_3256_,13.5µm
_alu_i0.Datapath_i.reg_0.reg_out1\[30\],13.5µm
_2304_,13.46µm
_0302_,13.44µm
_1220_,13.44µm
_1852_,13.42µm
_1907_,13.42µm
_1995_,13.42µm
_1412_,13.4µm
_1625_,13.4µm
_1915_,13.4µm
_1958_,13.4µm
_1797_,13.38µm
_0851_,13.36µm
_1049_,13.36µm
_1162_,13.36µm
_2107_,13.36µm
_3131_,13.355µm
_1504_,13.34µm
_0777_,13.32µm
_1159_,13.32µm
_2843_,13.32µm
_2030_,13.305µm
_0051_,13.3µm
_2336_,13.3µm
_1397_,13.28µm
_3168_,13.28µm
_3385_,13.28µm
_0137_,13.26µm
_0903_,13.26µm
_2452_,13.24µm
_2937_,13.24µm
_2109_,13.22µm
_3211_,13.22µm
_1455_,13.2µm
_2219_,13.2µm
_2414_,13.2µm
_2853_,13.2µm
_3092_,13.2µm
_1468_,13.18µm
_0138_,13.16µm
_0346_,13.16µm
_2669_,13.16µm
_0607_,13.13µm
_0203_,13.12µm
_0323_,13.115µm
_0536_,13.085µm
_0969_,13.08µm
_1297_,13.08µm
_1839_,13.04µm
_2173_,13.04µm
_2835_,13.04µm
_0947_,13.02µm
_3078_,13.02µm
_0102_,13µm
_0484_,13µm
_1201_,13µm
_0064_,12.98µm
_0403_,12.98µm
_1076_,12.96µm
_1552_,12.96µm
_1619_,12.96µm
_2284_,12.96µm
_0313_,12.94µm
_0527_,12.94µm
_0717_,12.94µm
_2326_,12.94µm
_1215_,12.925µm
_1713_,12.92µm
_3203_,12.92µm
_3394_,12.92µm
_1966_,12.9µm
_0126_,12.885µm
_0843_,12.88µm
_2164_,12.88µm
_3230_,12.88µm
_0916_,12.86µm
_1108_,12.86µm
_2521_,12.86µm
_1493_,12.84µm
_2212_,12.84µm
_0301_,12.82µm
_2424_,12.82µm
_0892_,12.8µm
_1164_,12.76µm
_1452_,12.76µm
_2038_,12.76µm
_2432_,12.76µm
net102,12.76µm
_2457_,12.745µm
_0111_,12.72µm
_0112_,12.72µm
_1020_,12.72µm
_1842_,12.72µm
_2487_,12.72µm
_0476_,12.7µm
_1703_,12.7µm
_3291_,12.7µm
_0122_,12.68µm
_1421_,12.68µm
_2055_,12.68µm
_0849_,12.66µm
_0153_,12.64µm
_2057_,12.64µm
_2438_,12.64µm
_0801_,12.62µm
_2594_,12.62µm
_2686_,12.62µm
_2921_,12.62µm
_1165_,12.61µm
_2102_,12.58µm
_2939_,12.58µm
_0456_,12.54µm
_1003_,12.54µm
_2341_,12.54µm
_2296_,12.52µm
_2411_,12.51µm
_0989_,12.5µm
_1406_,12.5µm
_2497_,12.5µm
_2702_,12.5µm
_2964_,12.5µm
_1775_,12.48µm
_2860_,12.465µm
_0614_,12.46µm
_1668_,12.46µm
_2061_,12.46µm
_2912_,12.46µm
_2468_,12.44µm
_0690_,12.42µm
_0968_,12.42µm
_1334_,12.42µm
_1548_,12.42µm
_2396_,12.42µm
_1281_,12.4µm
_1293_,12.4µm
_0900_,12.36µm
_alu_i0.Controller_i._present_state\[0\],12.36µm
_2307_,12.34µm
_0037_,12.3µm
_0208_,12.3µm
_0357_,12.3µm
_0425_,12.3µm
_1783_,12.3µm
_3140_,12.3µm
_0196_,12.26µm
_0489_,12.26µm
_0844_,12.26µm
_2645_,12.26µm
_2664_,12.26µm
_3399_,12.26µm
_0281_,12.24µm
_2065_,12.22µm
_2490_,12.22µm
_0981_,12.2µm
_alu_i0.Controller_i._present_state\[1\],12.2µm
_1549_,12.18µm
_2526_,12.18µm
_3173_,12.18µm
_0540_,12.16µm
_0781_,12.16µm
_1573_,12.16µm
_0686_,12.14µm
_3205_,12.14µm
_1258_,12.12µm
_2568_,12.12µm
_2734_,12.12µm
_3236_,12.12µm
_0437_,12.1µm
_1204_,12.1µm
_0492_,12.08µm
_0691_,12.08µm
_1066_,12.06µm
_1753_,12.06µm
_1123_,12.04µm
_1414_,12.04µm
_1501_,12.04µm
_2174_,12.04µm
_2506_,12.04µm
_3262_,12.04µm
_0400_,12.03µm
_1647_,12.02µm
_1845_,12.02µm
_0817_,12µm
_2229_,12µm
_3018_,11.98µm
_1407_,11.97µm
_0207_,11.96µm
_0248_,11.96µm
_0996_,11.96µm
_1716_,11.96µm
_2647_,11.96µm
_0716_,11.93µm
_0107_,11.92µm
_0254_,11.92µm
_2131_,11.92µm
_0268_,11.905µm
_0073_,11.9µm
_0461_,11.9µm
_2446_,11.9µm
_0166_,11.88µm
_2501_,11.88µm
_1038_,11.86µm
_0209_,11.84µm
_0372_,11.84µm
_0928_,11.84µm
_1341_,11.84µm
_0430_,11.82µm
_0468_,11.8µm
_0529_,11.78µm
_0603_,11.78µm
_1228_,11.78µm
_2303_,11.78µm
_3042_,11.78µm
_1892_,11.76µm
_2520_,11.76µm
_3352_,11.76µm
_0477_,11.74µm
_0177_,11.72µm
_0861_,11.72µm
_1680_,11.72µm
_2355_,11.72µm
_0303_,11.7µm
_0922_,11.7µm
_2118_,11.7µm
_2375_,11.7µm
_2387_,11.7µm
net77,11.7µm
_1005_,11.68µm
_0479_,11.66µm
_0879_,11.66µm
_1026_,11.66µm
_2112_,11.66µm
_0156_,11.64µm
_0741_,11.64µm
_2918_,11.64µm
_1115_,11.62µm
_2537_,11.62µm
_0464_,11.605µm
_0709_,11.58µm
_0760_,11.58µm
_0818_,11.58µm
_1143_,11.58µm
_1209_,11.58µm
_1989_,11.58µm
_2503_,11.58µm
_0201_,11.56µm
_0678_,11.56µm
_3128_,11.56µm
_0174_,11.54µm
_0750_,11.54µm
_1672_,11.49µm
_1702_,11.48µm
_0446_,11.46µm
_0634_,11.46µm
_1006_,11.46µm
_2101_,11.46µm
_2606_,11.46µm
_3171_,11.46µm
_3392_,11.46µm
_0377_,11.44µm
_2136_,11.44µm
_2333_,11.44µm
_2082_,11.42µm
_2338_,11.42µm
_2864_,11.42µm
_3056_,11.42µm
_0846_,11.38µm
_0943_,11.38µm
_2027_,11.38µm
_2658_,11.38µm
_1065_,11.36µm
net48,11.36µm
_1576_,11.34µm
_1609_,11.34µm
_2427_,11.34µm
_0232_,11.32µm
_0439_,11.32µm
_1121_,11.32µm
_1356_,11.32µm
_1830_,11.32µm
_3019_,11.32µm
net49,11.32µm
_0502_,11.3µm
_1509_,11.3µm
_1873_,11.3µm
_2004_,11.3µm
_0225_,11.28µm
_2814_,11.28µm
_0017_,11.26µm
_0264_,11.26µm
_0506_,11.26µm
_1630_,11.26µm
_1083_,11.24µm
_2317_,11.24µm
_0202_,11.22µm
_0570_,11.22µm
_0924_,11.22µm
_1251_,11.22µm
_1632_,11.22µm
_1280_,11.2µm
_1603_,11.2µm
_2346_,11.2µm
_2944_,11.2µm
_0911_,11.18µm
_2049_,11.18µm
_0176_,11.16µm
_2809_,11.16µm
_1387_,11.13µm
_0746_,11.12µm
_0790_,11.12µm
_0948_,11.11µm
_1727_,11.1µm
_1946_,11.1µm
_2176_,11.1µm
_0581_,11.08µm
_1828_,11.08µm
_1837_,11.06µm
_0142_,11.04µm
_0500_,11.04µm
_0575_,11.04µm
_1047_,11.02µm
_2325_,11.02µm
_3234_,11.02µm
_3261_,11.02µm
_0338_,11µm
_1450_,11µm
_2021_,11µm
_1546_,10.98µm
_1420_,10.96µm
_1514_,10.96µm
_1882_,10.96µm
_3344_,10.96µm
_2878_,10.94µm
_2947_,10.94µm
_3141_,10.94µm
_1284_,10.92µm
_2811_,10.9µm
_0594_,10.88µm
_1488_,10.88µm
_3161_,10.88µm
_0300_,10.84µm
_3270_,10.82µm
_1811_,10.8µm
_2234_,10.8µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[6\],10.785µm
_0316_,10.78µm
_1226_,10.78µm
_2565_,10.78µm
_3008_,10.78µm
_0060_,10.76µm
_0421_,10.76µm
_1809_,10.76µm
_2080_,10.76µm
_0133_,10.74µm
_1088_,10.74µm
_1096_,10.74µm
_2133_,10.74µm
_2283_,10.74µm
_1796_,10.72µm
_2034_,10.72µm
_1690_,10.705µm
_0451_,10.7µm
_1009_,10.7µm
_1443_,10.7µm
_2966_,10.7µm
_1537_,10.68µm
_2293_,10.68µm
_1916_,10.665µm
_1279_,10.66µm
_1905_,10.66µm
_1924_,10.66µm
_2792_,10.66µm
_2867_,10.66µm
_0101_,10.64µm
_1111_,10.64µm
_2583_,10.64µm
_0131_,10.62µm
_0376_,10.62µm
_1416_,10.62µm
_2311_,10.62µm
_3186_,10.62µm
net116,10.62µm
_0097_,10.58µm
_1807_,10.58µm
_2006_,10.58µm
_2404_,10.58µm
_2618_,10.58µm
_0792_,10.56µm
_0715_,10.54µm
_2863_,10.54µm
_3293_,10.52µm
_3300_,10.52µm
_0230_,10.505µm
_1961_,10.505µm
_1764_,10.5µm
_1832_,10.5µm
_2015_,10.5µm
_2473_,10.5µm
_2837_,10.5µm
_0684_,10.48µm
_2069_,10.48µm
_2251_,10.48µm
_2277_,10.465µm
_0890_,10.46µm
_1409_,10.46µm
_1956_,10.46µm
_alu_i0.Datapath_i.reg_0.reg_out1\[23\],10.46µm
_0756_,10.44µm
_3055_,10.44µm
_0297_,10.42µm
_0549_,10.42µm
_0832_,10.42µm
_0973_,10.42µm
_3049_,10.42µm
_0422_,10.4µm
_0565_,10.4µm
_1285_,10.39µm
_0627_,10.385µm
_0870_,10.38µm
_0992_,10.38µm
_2205_,10.38µm
_1480_,10.36µm
_2767_,10.36µm
_2896_,10.36µm
_0030_,10.355µm
_0921_,10.34µm
_2156_,10.34µm
_0025_,10.32µm
_0140_,10.32µm
_0392_,10.32µm
_1479_,10.32µm
_1496_,10.32µm
_2330_,10.32µm
_2370_,10.32µm
_2685_,10.32µm
_2866_,10.32µm
_1886_,10.31µm
_0682_,10.3µm
_2608_,10.3µm
_3214_,10.3µm
_0469_,10.28µm
_0493_,10.28µm
_0646_,10.28µm
_1957_,10.28µm
_2901_,10.28µm
_0845_,10.26µm
_0897_,10.24µm
_1052_,10.24µm
_1329_,10.24µm
_1575_,10.24µm
_1612_,10.24µm
_2881_,10.24µm
_2979_,10.24µm
_3370_,10.24µm
_0712_,10.22µm
_0216_,10.2µm
_0250_,10.2µm
_0452_,10.2µm
_1296_,10.18µm
_1385_,10.18µm
_1011_,10.16µm
_2059_,10.16µm
_2238_,10.16µm
_2260_,10.16µm
_2393_,10.16µm
_2518_,10.16µm
_2719_,10.16µm
_0124_,10.14µm
_0276_,10.12µm
_0959_,10.12µm
_0962_,10.12µm
_1579_,10.12µm
_2328_,10.12µm
_1299_,10.1µm
_0249_,10.08µm
_1889_,10.08µm
_0629_,10.07µm
_0466_,10.04µm
_0598_,10.04µm
_0766_,10.04µm
_1838_,10.04µm
_1903_,10.04µm
_1492_,10.02µm
_0831_,10µm
_1774_,10µm
_2130_,10µm
_alu_i0.Datapath_i.reg_0.reg_out1\[24\],10µm
_2290_,9.995µm
_0867_,9.98µm
_1900_,9.98µm
_0307_,9.96µm
_2996_,9.96µm
_0442_,9.94µm
_1372_,9.94µm
_0083_,9.92µm
_0223_,9.92µm
_1392_,9.92µm
_1558_,9.9µm
_0904_,9.885µm
_0309_,9.88µm
_0612_,9.88µm
_0713_,9.88µm
_1729_,9.88µm
_0743_,9.865µm
_1459_,9.865µm
_0404_,9.86µm
_0548_,9.86µm
_1383_,9.86µm
_1502_,9.86µm
_1778_,9.86µm
_2236_,9.86µm
_3390_,9.86µm
_2116_,9.845µm
_0362_,9.84µm
_1145_,9.84µm
_3316_,9.84µm
_0677_,9.83µm
_1590_,9.82µm
_1928_,9.82µm
_2859_,9.82µm
_1449_,9.8µm
_2228_,9.8µm
_0399_,9.78µm
_0472_,9.78µm
_1834_,9.78µm
_2224_,9.78µm
_3277_,9.78µm
_2936_,9.76µm
_2340_,9.745µm
_0857_,9.74µm
_1659_,9.74µm
_1760_,9.74µm
_2217_,9.74µm
_0272_,9.72µm
_0482_,9.72µm
_0592_,9.72µm
_0616_,9.7µm
_1172_,9.7µm
_1320_,9.7µm
_1353_,9.7µm
_1637_,9.7µm
_3362_,9.7µm
_0113_,9.66µm
_0662_,9.66µm
_0807_,9.66µm
_2165_,9.66µm
_2395_,9.66µm
_2838_,9.66µm
_3288_,9.66µm
_0481_,9.62µm
_0530_,9.62µm
_1476_,9.62µm
_2507_,9.62µm
_2510_,9.62µm
_3338_,9.62µm
_2508_,9.61µm
_0136_,9.6µm
_0057_,9.58µm
_0123_,9.58µm
_0365_,9.58µm
_0583_,9.58µm
_0652_,9.58µm
_2138_,9.58µm
_2323_,9.58µm
_2769_,9.56µm
_0759_,9.55µm
_0495_,9.54µm
_2954_,9.54µm
_2158_,9.52µm
_0764_,9.5µm
_1616_,9.5µm
_1919_,9.5µm
_2567_,9.5µm
_1528_,9.48µm
_1570_,9.48µm
_2957_,9.48µm
_0543_,9.46µm
_1051_,9.46µm
_1510_,9.46µm
_3184_,9.45µm
_0251_,9.44µm
_0639_,9.44µm
_0998_,9.44µm
_1217_,9.44µm
_1533_,9.44µm
_1598_,9.44µm
_1790_,9.44µm
_0210_,9.42µm
_0559_,9.42µm
_0585_,9.42µm
_1693_,9.42µm
_2123_,9.42µm
_2588_,9.42µm
_1747_,9.41µm
_0091_,9.4µm
_0635_,9.4µm
_0379_,9.38µm
_0804_,9.38µm
_1491_,9.38µm
_1588_,9.38µm
_1260_,9.37µm
_0626_,9.36µm
_0648_,9.36µm
_0740_,9.36µm
_1277_,9.36µm
_1683_,9.36µm
_1860_,9.36µm
_2589_,9.36µm
_3332_,9.34µm
_0061_,9.32µm
_0242_,9.32µm
_0340_,9.32µm
_1060_,9.32µm
_1106_,9.32µm
_2378_,9.32µm
_2758_,9.32µm
_alu_i0.Controller_i._present_state\[2\],9.32µm
_alu_i0.Datapath_i.reg_0.reg_out1\[4\],9.32µm
_0129_,9.28µm
_0135_,9.28µm
_0833_,9.28µm
_0957_,9.28µm
_1183_,9.28µm
_1417_,9.28µm
_1779_,9.28µm
_3312_,9.28µm
_0617_,9.27µm
_2407_,9.26µm
_0412_,9.24µm
_0580_,9.24µm
_1198_,9.24µm
_1427_,9.24µm
_2273_,9.24µm
_2349_,9.24µm
_0985_,9.23µm
_0949_,9.22µm
_2081_,9.22µm
_0189_,9.2µm
_1872_,9.2µm
_2493_,9.2µm
_3233_,9.2µm
_0440_,9.18µm
_0480_,9.16µm
_0991_,9.16µm
_1086_,9.16µm
_1367_,9.16µm
_1577_,9.16µm
_1685_,9.16µm
_2337_,9.16µm
_0200_,9.14µm
